2018/05/16 21:15:32 [error] 6#6: *5889 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:32 [error] 6#6: *5861 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:32 [error] 6#6: *5863 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:32 [error] 6#6: *6057 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:34 [error] 6#6: *6247 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:34 [error] 6#6: *6245 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:34 [error] 6#6: *6243 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:34 [error] 6#6: *6091 upstream prematurely closed connection while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:34 [error] 6#6: *6095 upstream prematurely closed connection while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:34 [error] 6#6: *6097 upstream prematurely closed connection while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:41 [error] 6#6: *6343 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:41 [error] 6#6: *6341 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:41 [error] 6#6: *5563 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:41 [error] 6#6: *5531 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:41 [error] 6#6: *5533 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:41 [error] 6#6: *5535 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:43 [error] 6#6: *6878 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:43 [error] 6#6: *5735 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:45 [error] 6#6: *7786 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:48 [error] 6#6: *7478 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:48 [error] 6#6: *7480 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:49 [error] 6#6: *7736 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:49 [error] 6#6: *7738 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:49 [error] 6#6: *7740 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:49 [error] 6#6: *7742 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:49 [error] 6#6: *7824 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:50 [error] 6#6: *7909 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:50 [error] 6#6: *7910 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
